Item_Identifier,Item_Weight,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Item_Outlet_Sales,Outlet_Age,Price_per_Unit_Weight,Item_Visibility_Log,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3,Non_Consumable,Item_Fat_Content_Regular,Outlet_Size_Medium,Outlet_Size_Small,Outlet_Location_Type_Tier 2,Outlet_Location_Type_Tier 3,Item_Category_Food,Item_Category_Non-Consumable,Outlet_Age_Category_Mid,Outlet_Age_Category_Old
FDW57,8.31,0.115857223,Snack Foods,179.1028,9,1999,3896.2616,26,21.552683513838748,0.10962291939463414,True,False,False,0,True,True,False,False,False,True,False,False,True
DRB48,16.75,0.024832806,Soft Drinks,38.7822,1,1987,667.7974,38,2.315355223880597,0.024529483187933035,True,False,False,0,True,False,False,False,True,False,False,False,True
FDP09,19.75,0.034027909,Snack Foods,212.0902,3,2009,3185.853,16,10.73874430379747,0.03346176701791702,False,True,False,0,False,True,False,False,True,True,False,True,False
FDH14,17.1,0.0467696,Canned,141.1838,1,1987,2247.7408,38,8.256362573099414,0.04570885036564776,True,False,False,0,True,False,False,False,True,True,False,False,True
FDA47,10.5,0.116576702,Baking Goods,163.121,1,1987,1794.331,38,15.535333333333334,0.11026748855016705,True,False,False,0,True,False,False,False,True,True,False,False,True
FDG12,6.635,0.057792343,Baking Goods,121.3098,7,2002,2530.7058,23,18.283315749811607,0.05618404101511105,True,False,False,0,True,False,True,True,False,True,False,True,False
DRE60,9.395,0.278974075,Soft Drinks,225.372,4,1985,679.116,40,23.988504523682813,0.2460582526492857,False,False,False,0,False,False,True,False,False,False,False,False,True
DRK49,14.15,0.035913805,Soft Drinks,41.4138,1,1987,812.276,38,2.9267703180212017,0.03528394056904558,True,False,False,0,False,False,False,False,True,False,False,False,True
FDD03,13.3,0.079806266,Dairy,232.53,8,1997,699.09,28,17.48345864661654,0.0767816417116805,True,False,False,0,False,False,True,False,False,True,False,False,True
FDS52,8.89,0.005505481,Frozen Foods,102.4016,2,2007,2732.4432,18,11.518740157480314,0.005490381235106269,True,False,False,0,False,False,True,True,False,True,False,True,False
FDW39,6.69,0.064625342,Meat,176.937,4,1985,176.437,40,26.44798206278027,0.0626229457189295,False,False,False,0,True,False,True,False,False,True,False,False,True
FDX34,6.195,0.071636937,Snack Foods,121.7098,5,1985,4097.3332,40,19.64645682001614,0.06918732711256406,False,False,True,0,False,True,False,False,True,True,False,False,True
FDV11,9.1,0.057792343,Breads,173.2054,7,2002,3151.8972,23,19.03356043956044,0.05618404101511105,True,False,False,0,True,False,True,True,False,True,False,True,False
FDD17,7.5,0.032677678,Frozen Foods,239.0906,9,1999,5942.265,26,31.878746666666665,0.03215511627811024,True,False,False,0,False,True,False,False,False,True,False,False,True
FDZ16,16.85,0.160760054,Frozen Foods,192.4478,2,2007,4843.695,18,11.421234421364984,0.14907500952156252,True,False,False,0,True,False,True,True,False,True,False,True,False
FDZ46,7.485,0.06911065,Snack Foods,109.0228,6,2004,2542.0244,21,14.565504342017368,0.0668271346376862,True,False,False,0,False,False,True,True,False,True,False,True,False
DRA12,11.6,0.041177505,Soft Drinks,140.3154,2,2007,2552.6772,18,12.096155172413795,0.04035228902589871,True,False,False,0,False,False,True,True,False,False,False,True,False
FDY58,11.65,0.040081193,Snack Foods,227.0694,3,2009,1141.847,16,19.490935622317597,0.03929878029827013,False,True,False,0,False,True,False,False,True,True,False,True,False
NCF19,13.0,0.035307322,Household,47.5034,2,2007,680.4476,18,3.6541076923076923,0.0346983121111013,True,False,False,1,False,False,True,True,False,False,True,True,False
DRJ13,12.65,0.063017847,Soft Drinks,159.0578,7,2002,2085.9514,23,12.573739130434781,0.06111188849450756,True,False,False,0,False,False,True,True,False,False,False,True,False
FDB14,20.25,0.171938781,Canned,92.512,0,1998,186.424,27,4.568493827160494,0.15865945514890625,False,False,False,0,True,False,True,False,True,True,False,False,True
FDJ38,8.6,0.040197932,Canned,190.153,6,2004,3036.048,21,22.11081395348837,0.03941101427564327,True,False,False,0,True,False,True,True,False,True,False,True,False
FDW11,12.6,0.049058014,Breads,62.7194,2,2007,866.8716,18,4.977730158730159,0.04789263198408685,True,False,False,0,False,False,True,True,False,True,False,True,False
FDL40,17.7,0.01161096,Frozen Foods,95.041,6,2004,868.869,21,5.36954802259887,0.01154407007684854,True,False,False,0,False,False,True,True,False,True,False,True,False
DRI49,14.15,0.183507295,Soft Drinks,82.4276,8,1997,1137.1864,28,5.825272084805653,0.16848231387347926,True,False,False,0,False,False,True,False,False,False,False,False,True
FDV38,19.25,0.102349519,Dairy,52.7956,2,2007,928.1252,18,2.7426285714285714,0.09744382832021248,True,False,False,0,False,False,True,True,False,True,False,True,False
DRG23,8.88,0.086708987,Hard Drinks,151.7682,1,1987,762.341,38,17.091013513513513,0.08315385104419072,True,False,False,0,False,False,False,False,True,False,False,False,True
NCP30,20.5,0.032835147,Household,40.2822,7,2002,707.0796,23,1.9649853658536587,0.0323075907613467,True,False,False,1,False,False,True,True,False,False,True,True,False
FDY25,12.0,0.033809913,Canned,180.5976,5,1985,7968.2944,40,15.0498,0.03325092262916631,False,False,True,0,False,True,False,False,True,True,False,False,True
NCH54,13.5,0.07266912,Household,160.292,8,1997,1438.128,28,11.873481481481482,0.07015004703433267,True,False,False,1,False,False,True,False,False,False,True,False,True
NCR53,12.15,0.144338493,Health and Hygiene,224.4404,5,1985,6976.2524,40,18.472460905349795,0.13482673468163803,False,False,True,1,False,True,False,False,True,False,True,False,True
FDS52,8.89,0.009163216,Frozen Foods,101.7016,0,1998,101.2016,27,11.44,0.009121488448281019,False,False,False,0,False,False,True,False,True,True,False,False,True
FDG02,7.855,0.011307038,Canned,188.5188,3,2009,952.094,16,23.999847231063015,0.011243591261012034,False,True,False,0,False,True,False,False,True,True,False,True,False
NCO26,7.235,0.076855628,Household,116.0492,8,1997,1969.4364,28,16.03997235659986,0.0740453390494528,True,False,False,1,False,False,True,False,False,False,True,False,True
FDH35,18.25,0.059956876,Starchy Foods,165.4526,5,1985,5262.4832,40,9.065895890410959,0.058228224277531396,False,False,True,0,False,True,False,False,True,True,False,False,True
FDB51,6.92,0.038532062,Dairy,60.5852,7,2002,1314.2892,23,8.755086705202313,0.03780823723251729,True,False,False,0,False,False,True,True,False,True,False,True,False
FDX44,9.3,0.043209581,Fruits and Vegetables,90.8172,2,2007,535.3032,18,9.765290322580645,0.04230209638887412,True,False,False,0,False,False,True,True,False,True,False,True,False
NCN07,18.5,0.056816465,Others,132.1284,0,1998,263.6568,27,7.142075675675676,0.0552610541576009,False,False,False,1,False,False,True,False,True,False,True,False,True
NCC31,8.02,0.019866705,Household,154.5972,6,2004,1402.1748,21,19.27645885286783,0.019671937384076143,True,False,False,1,False,False,True,True,False,False,True,True,False
NCX54,9.195,0.048331717,Household,105.1622,2,2007,1693.7952,18,11.43688961392061,0.04720005967070493,True,False,False,1,False,False,True,True,False,False,True,True,False
NCO55,12.8,0.091221855,Others,105.5938,7,2002,2143.876,23,8.249515624999999,0.08729803631558561,True,False,False,1,False,False,True,True,False,False,True,True,False
NCC30,16.6,0.027622076,Household,177.6344,9,1999,2676.516,26,10.700867469879517,0.02724746909017505,True,False,False,1,False,True,False,False,False,False,True,False,True
FDI16,14.0,0.057792343,Frozen Foods,53.064,6,2004,905.488,21,3.7902857142857145,0.05618404101511105,True,False,False,0,True,False,True,True,False,True,False,True,False
FDP16,18.6,0.039355947,Frozen Foods,246.3802,9,1999,7370.406,26,13.246247311827956,0.03860123958837736,True,False,False,0,False,True,False,False,False,True,False,False,True
FDB11,16.0,0.060836524,Starchy Foods,226.8404,6,2004,6301.1312,21,14.177525,0.05905777047514208,True,False,False,0,False,False,True,True,False,True,False,True,False
NCB06,17.6,0.082316506,Health and Hygiene,160.692,6,2004,1597.92,21,9.130227272727272,0.07910365705733194,True,False,False,1,False,False,True,True,False,False,True,True,False
FDA45,21.25,0.155350299,Snack Foods,178.237,6,2004,529.311,21,8.387623529411764,0.14440358716838061,True,False,False,0,False,False,True,True,False,True,False,True,False
NCO26,7.235,0.076841095,Household,117.5492,6,2004,1969.4364,21,16.24729785763649,0.07403184318455687,True,False,False,1,False,False,True,True,False,False,True,True,False
DRJ25,14.6,0.151419185,Soft Drinks,50.3692,2,2007,1034.6532,18,3.449945205479452,0.14099525544488437,True,False,False,0,False,False,True,True,False,False,False,True,False
FDR28,13.85,0.026001976,Frozen Foods,161.521,3,2009,1794.331,16,11.66216606498195,0.025669672672649125,False,True,False,0,True,True,False,False,True,True,False,True,False
FDI04,13.65,0.073209447,Frozen Foods,197.6426,3,2009,2768.3964,16,14.479311355311355,0.07065364217688042,False,True,False,0,True,True,False,False,True,True,False,True,False
DRK12,9.5,0.041683481,Soft Drinks,31.29,5,1985,898.83,40,3.2936842105263158,0.040838136149978325,False,False,True,0,False,True,False,False,True,False,False,False,True
FDX20,7.365,0.042560252,Fruits and Vegetables,226.172,8,1997,3169.208,28,30.709029192124913,0.041679468704166535,True,False,False,0,False,False,True,False,False,True,False,False,True
NCI18,18.35,0.014081156,Household,223.5746,3,2009,3589.9936,16,12.183901907356947,0.013982937469280017,False,True,False,1,False,True,False,False,True,False,True,True,False
FDB36,5.465,0.057792343,Baking Goods,132.5626,3,2009,262.3252,16,24.25665141811528,0.05618404101511105,False,True,False,0,True,True,False,False,True,True,False,True,False
FDN13,18.6,0.152918384,Breakfast,99.8358,2,2007,1910.1802,18,5.367516129032258,0.14229645300525476,True,False,False,0,False,False,True,True,False,True,False,True,False
DRD24,13.85,0.030969274,Soft Drinks,140.9154,2,2007,1701.7848,18,10.174397111913358,0.03049940245687983,True,False,False,0,False,False,True,True,False,False,False,True,False
FDQ28,14.0,0.060376776,Frozen Foods,154.5656,1,1987,2471.4496,38,11.0404,0.05862429402352926,True,False,False,0,True,False,False,False,True,True,False,False,True
FDM22,14.0,0.04192285,Snack Foods,54.764,1,1987,1331.6,38,3.911714285714286,0.0410679002829546,True,False,False,0,True,False,False,False,True,True,False,False,True
FDR07,21.35,0.077367431,Fruits and Vegetables,97.0094,5,1985,1808.9786,40,4.543765807962529,0.0745205015517678,False,False,True,0,False,True,False,False,True,True,False,False,True
FDV25,5.905,0.045838211,Canned,222.5456,3,2009,3315.684,16,37.68765453005927,0.044818679683299084,False,True,False,0,False,True,False,False,True,True,False,True,False
